age,male,female
0,0.000867,0.00062
1,0.000615,0.000456
2,0.000445,0.000337
3,0.000339,0.000256
4,0.00028,0.000203
5,0.000251,0.00017
6,0.000237,0.000149
7,0.000233,0.000137
8,0.000238,0.000133
9,0.00025,0.000136
10,0.000269,0.000145
11,0.000293,0.000157
12,0.000319,0.000172
13,0.000347,0.000189
14,0.000375,0.000206
15,0.000402,0.000221
16,0.000427,0.000234
17,0.000449,0.000245
18,0.000469,0.000255
19,0.000489,0.000262
20,0.000508,0.000269
21,0.000527,0.000274
22,0.000547,0.000279
23,0.000568,0.000284
24,0.000591,0.000289
25,0.000615,0.000294
26,0.000644,0.0003
27,0.000675,0.000307
28,0.000711,0.000316
29,0.000751,0.000327
30,0.000797,0.00034
31,0.000847,0.000356
32,0.000903,0.000374
33,0.000966,0.000397
34,0.001035,0.000423
35,0.001111,0.000454
36,0.001196,0.000489
37,0.00129,0.00053
38,0.001395,0.000577
39,0.001515,0.000631
40,0.001651,0.000692
41,0.001804,0.000762
42,0.001978,0.000841
43,0.002173,0.000929
44,0.002393,0.001028
45,0.002639,0.001137
46,0.002913,0.001259
47,0.003213,0.001392
48,0.003538,0.001537
49,0.003884,0.001692
50,0.004249,0.001859
51,0.004633,0.002037
52,0.005032,0.002226
53,0.005445,0.002424
54,0.005869,0.002634
55,0.006302,0.002853
56,0.006747,0.003085
57,0.007227,0.003342
58,0.00777,0.003638
59,0.008403,0.00399
60,0.009161,0.004414
61,0.010065,0.004923
62,0.011129,0.005529
63,0.01236,0.006244
64,0.013771,0.007078
65,0.015379,0.008045
66,0.017212,0.009165
67,0.019304,0.01046
68,0.021691,0.011955
69,0.024411,0.013674
70,0.027495,0.015643
71,0.030965,0.017887
72,0.034832,0.020432
73,0.039105,0.023303
74,0.043796,0.026528
75,0.048921,0.030137
76,0.054506,0.034165
77,0.060586,0.038653
78,0.067202,0.043648
79,0.0744,0.049205
80,0.08222,0.055385
81,0.0907,0.062254
82,0.099868,0.06988
83,0.109754,0.07832
84,0.120388,0.087611
85,0.131817,0.097754
86,0.144105,0.108704
87,0.157334,0.120371
88,0.171609,0.132638
89,0.187046,0.145395
90,0.203765,0.158572
91,0.221873,0.172172
92,0.241451,0.186294
93,0.262539,0.201129
94,0.285129,0.21694
95,0.30916,0.234026
96,0.334529,0.252673
97,0.361101,0.273112
98,0.388727,0.295478
99,0.417257,0.319794
100,0.446544,0.345975
101,0.476447,0.373856
102,0.50683,0.403221
103,0.537558,0.433833
104,0.568497,0.465447
105,1,1
